               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,             0.03053,            0.016091,           0.0042293,             0.86076,              0.8739,             0.89295,             0.56347,            0.032441,            0.010845,           0.0052935,            0.005248,            0.005248,            0.005248
                  50,            0.030466,            0.015837,           0.0041723,             0.86228,             0.87965,             0.89899,             0.57949,            0.032714,            0.010775,           0.0050325,            0.005149,            0.005149,            0.005149
                  51,            0.029531,            0.016034,           0.0043316,             0.86928,             0.88826,             0.89418,             0.55725,            0.033356,            0.010804,           0.0052417,             0.00505,             0.00505,             0.00505
                  52,            0.029071,            0.015504,           0.0042761,              0.8549,              0.8686,             0.89292,             0.56326,            0.033845,            0.010844,           0.0054603,            0.004951,            0.004951,            0.004951
                  53,            0.029865,             0.01581,           0.0042169,             0.84236,             0.87672,             0.89278,             0.57213,            0.032674,            0.011178,           0.0054091,            0.004852,            0.004852,            0.004852
                  54,            0.028894,            0.015575,             0.00404,             0.86821,             0.88832,             0.88364,             0.55627,            0.033099,            0.010967,           0.0054869,            0.004753,            0.004753,            0.004753
                  55,            0.028993,            0.015557,           0.0040654,             0.83197,             0.87892,               0.892,             0.56611,             0.03269,            0.011169,           0.0050534,            0.004654,            0.004654,            0.004654
                  56,            0.028563,            0.015512,           0.0040779,             0.82638,             0.89135,             0.88125,             0.55238,            0.032328,            0.010906,           0.0050205,            0.004555,            0.004555,            0.004555
                  57,            0.028135,            0.015198,           0.0041095,             0.85615,             0.88671,             0.90233,             0.56645,             0.03315,            0.010898,           0.0047072,            0.004456,            0.004456,            0.004456
                  58,            0.028117,            0.015478,           0.0040976,              0.8525,             0.88688,             0.89807,              0.5642,            0.032688,            0.011068,           0.0054482,            0.004357,            0.004357,            0.004357
                  59,            0.027989,            0.015013,           0.0038149,             0.84487,             0.88792,             0.88846,             0.57145,            0.031827,            0.010715,           0.0050551,            0.004258,            0.004258,            0.004258
                  60,            0.027865,            0.014931,            0.003625,             0.85424,             0.87974,             0.88061,             0.56271,            0.032166,             0.01121,           0.0050912,            0.004159,            0.004159,            0.004159
                  61,            0.027799,            0.014937,           0.0037957,             0.86312,             0.86553,             0.88834,             0.56252,            0.032359,            0.011209,           0.0051919,             0.00406,             0.00406,             0.00406
                  62,             0.02784,             0.01487,           0.0039235,             0.83278,             0.89616,             0.88312,               0.561,            0.032481,            0.011196,           0.0049516,            0.003961,            0.003961,            0.003961
                  63,            0.027218,            0.015658,           0.0036445,             0.83055,             0.86182,             0.87157,             0.56348,            0.032386,            0.011421,           0.0052114,            0.003862,            0.003862,            0.003862
                  64,            0.026936,            0.015331,           0.0036875,             0.85083,              0.9065,             0.88728,             0.56806,            0.032086,            0.011007,           0.0049685,            0.003763,            0.003763,            0.003763
                  65,            0.026579,            0.015163,           0.0035434,             0.83803,             0.88849,             0.89399,             0.58133,            0.031982,            0.011172,           0.0046618,            0.003664,            0.003664,            0.003664
                  66,            0.026345,            0.015046,           0.0032927,             0.86382,             0.87496,             0.89457,               0.576,            0.031938,            0.011331,           0.0043385,            0.003565,            0.003565,            0.003565
                  67,            0.025935,            0.014538,           0.0034019,              0.8626,             0.89719,             0.89468,             0.58756,            0.032101,            0.010861,           0.0045224,            0.003466,            0.003466,            0.003466
                  68,            0.027016,            0.014418,            0.003665,             0.86154,             0.88032,             0.89756,             0.57146,            0.032406,            0.011077,            0.005167,            0.003367,            0.003367,            0.003367
                  69,            0.025778,            0.014729,           0.0034795,             0.87084,             0.88287,             0.89413,             0.56685,             0.03205,            0.011244,           0.0048989,            0.003268,            0.003268,            0.003268
                  70,            0.026226,            0.014699,           0.0035895,             0.85991,             0.86952,             0.88088,             0.56293,            0.031941,            0.011769,           0.0048434,            0.003169,            0.003169,            0.003169
                  71,            0.025876,            0.014159,            0.003609,             0.83918,             0.87086,              0.8791,             0.55431,            0.032237,            0.011628,           0.0048617,             0.00307,             0.00307,             0.00307
                  72,            0.025453,            0.014444,           0.0033126,             0.87147,              0.8888,             0.89887,             0.57535,            0.031942,              0.0111,           0.0042686,            0.002971,            0.002971,            0.002971
                  73,            0.025513,            0.014113,           0.0033214,             0.86545,             0.88273,             0.90027,             0.56168,            0.031964,            0.011423,           0.0045688,            0.002872,            0.002872,            0.002872
                  74,            0.025137,            0.013889,           0.0030354,             0.87215,             0.88404,             0.89334,             0.57336,            0.031428,            0.011075,           0.0045791,            0.002773,            0.002773,            0.002773
                  75,            0.025351,            0.014117,           0.0034038,             0.83249,             0.89407,             0.88486,              0.5798,            0.031235,            0.011296,           0.0043164,            0.002674,            0.002674,            0.002674
                  76,            0.024836,            0.013852,           0.0032988,             0.84672,             0.88962,             0.89438,             0.58386,            0.031291,            0.011105,           0.0044389,            0.002575,            0.002575,            0.002575
                  77,            0.024733,            0.013445,           0.0032692,             0.85427,              0.8848,             0.89865,             0.57368,            0.031684,            0.011291,            0.004416,            0.002476,            0.002476,            0.002476
                  78,            0.024511,            0.013878,           0.0032514,             0.85244,              0.8918,             0.89285,             0.58821,             0.03093,            0.011217,           0.0042955,            0.002377,            0.002377,            0.002377
                  79,            0.024075,            0.013606,           0.0030505,             0.86002,             0.90113,             0.89635,             0.58144,            0.031171,            0.011107,           0.0042935,            0.002278,            0.002278,            0.002278
                  80,            0.023976,            0.013808,           0.0031502,               0.864,             0.88743,             0.89611,             0.58645,            0.031121,            0.011434,           0.0044045,            0.002179,            0.002179,            0.002179
                  81,            0.024223,            0.013672,           0.0031172,             0.85967,             0.90318,             0.89124,             0.58562,            0.030876,            0.011154,           0.0042809,             0.00208,             0.00208,             0.00208
                  82,            0.023624,            0.012977,           0.0030493,             0.85881,               0.872,             0.89471,             0.58783,            0.030823,             0.01155,            0.004517,            0.001981,            0.001981,            0.001981
                  83,            0.023661,             0.01336,           0.0029265,             0.87696,             0.89415,             0.89924,             0.59063,            0.030874,            0.011177,           0.0046163,            0.001882,            0.001882,            0.001882
                  84,            0.023549,            0.013887,           0.0030552,             0.87546,             0.90456,             0.90149,             0.58789,            0.030484,            0.011147,           0.0044543,            0.001783,            0.001783,            0.001783
                  85,            0.023601,            0.013727,           0.0031669,             0.87398,             0.90851,             0.90373,              0.5866,            0.030582,            0.011175,           0.0041983,            0.001684,            0.001684,            0.001684
                  86,            0.022854,            0.013206,           0.0028283,             0.88135,             0.88824,             0.89447,             0.57561,            0.030789,            0.011373,            0.004299,            0.001585,            0.001585,            0.001585
                  87,            0.023133,            0.013494,           0.0031587,             0.87216,              0.8941,             0.89377,             0.58828,             0.03047,            0.011212,           0.0042995,            0.001486,            0.001486,            0.001486
                  88,            0.022584,            0.012943,           0.0028211,             0.87971,              0.8809,             0.89028,             0.59463,            0.030456,            0.011084,           0.0041056,            0.001387,            0.001387,            0.001387
                  89,            0.022876,            0.012993,           0.0029807,             0.86074,             0.88345,             0.89209,             0.59606,             0.03051,            0.010995,           0.0040295,            0.001288,            0.001288,            0.001288
                  90,            0.022811,            0.013068,           0.0028451,             0.86854,             0.89665,             0.89855,             0.59836,            0.030514,            0.010968,           0.0041292,            0.001189,            0.001189,            0.001189
                  91,            0.022292,            0.012685,           0.0027563,             0.85278,             0.89367,             0.89489,             0.58969,            0.030461,            0.011167,           0.0042137,             0.00109,             0.00109,             0.00109
                  92,            0.022769,            0.013692,           0.0028762,             0.84704,               0.903,             0.89465,             0.59406,            0.030364,            0.011134,           0.0041808,            0.000991,            0.000991,            0.000991
                  93,            0.022677,            0.013016,           0.0029472,             0.85356,             0.89112,             0.89495,               0.595,            0.030376,            0.011162,           0.0041814,            0.000892,            0.000892,            0.000892
                  94,            0.022578,            0.013111,           0.0028909,             0.85422,             0.88898,             0.89123,             0.58866,            0.030337,            0.011257,           0.0041862,            0.000793,            0.000793,            0.000793
                  95,            0.021884,             0.01277,           0.0025015,             0.84364,             0.89516,              0.8908,             0.59069,            0.030318,            0.011375,           0.0042037,            0.000694,            0.000694,            0.000694
                  96,             0.02176,            0.012565,           0.0026854,             0.85364,              0.9002,             0.89671,             0.58824,             0.03015,            0.011198,           0.0041771,            0.000595,            0.000595,            0.000595
                  97,            0.021767,            0.013021,           0.0027268,              0.8455,             0.89365,             0.89436,             0.59463,            0.030052,            0.011352,           0.0041233,            0.000496,            0.000496,            0.000496
                  98,            0.021753,            0.012166,           0.0026327,             0.84558,                0.89,             0.89155,             0.59476,            0.030127,            0.011405,            0.004192,            0.000397,            0.000397,            0.000397
                  99,            0.021145,            0.012456,           0.0027471,             0.86093,             0.89389,             0.89574,             0.59344,            0.030091,            0.011328,           0.0042023,            0.000298,            0.000298,            0.000298
